,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
0,005930,KR7005930003,삼성전자,KOSPI,,73200,2,-600,-0.81,73700,73700,73200,3748979,275282384400,436988082660000,5969782550,STK
1,000660,KR7000660001,SK하이닉스,KOSPI,,149300,2,-2000,-1.32,150300,151100,149300,747560,112266867100,108690753094500,728002365,STK
2,373220,KR7373220003,LG에너지솔루션,KOSPI,,399500,1,2000,0.5,397500,399500,392000,45146,17836874500,93483000000000,234000000,STK
3,207940,KR7207940008,삼성바이오로직스,KOSPI,,822000,1,1000,0.12,819000,824000,815000,12773,10483290000,58505028000000,71174000,STK
4,005380,KR7005380001,현대차,KOSPI,,245000,2,-7500,-2.97,250000,253000,244000,642139,159284746000,51825218970000,211531506,STK
5,005935,KR7005931001,삼성전자우,KOSPI,,62500,3,0,0.0,62800,62800,62400,199050,12469847600,51430418750000,822886700,STK
6,000270,KR7000270009,기아,KOSPI,,116400,2,-1200,-1.02,115600,118700,115600,675970,79159332100,46797945229200,402044203,STK
7,068270,KR7068270008,셀트리온,KOSPI,,181500,2,-900,-0.49,182500,183000,180200,131660,23865859600,39576031803000,218049762,STK
8,005490,KR7005490008,POSCO홀딩스,KOSPI,,439500,2,-5000,-1.12,443000,443000,433500,208018,90853686500,37169055585000,84571230,STK
9,051910,KR7051910008,LG화학,KOSPI,,500000,2,-8000,-1.57,507000,507000,491500,108328,53897137500,35296171500000,70592343,STK
10,035420,KR7035420009,NAVER,KOSPI,,204000,1,500,0.25,203500,205500,203500,235929,48215651500,33131353176000,162408594,STK
11,028260,KR7028260008,삼성물산,KOSPI,,166000,2,-4400,-2.58,170300,171000,165700,249878,42013987900,30808217220000,185591670,STK
12,105560,KR7105560007,KB금융,KOSPI,,67200,2,-1600,-2.33,69000,69300,67100,353584,24138177700,27115944038400,403511072,STK
